company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
KPMG India,3.5,5k,953,745,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Max Life Insurance,4.1,5k,299,279,"Skill Development / Learning, Company Culture, Job Security",
Udaan,4.0,5k,--,328,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
Ujjivan Small Finance Bank,4.1,5k,18,207,"Company Culture, Job Security, Skill Development / Learning",
Oracle,3.7,4.9k,171,839,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Tata Projects,4.3,4.8k,35,378,"Job Security, Company Culture, Salary & Benefits",
Muthoot Finance,3.6,4.7k,30,240,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Megha Engineering & Infrastructures,4.0,4.7k,15,413,Job Security,Promotions / Appraisal
Ekart Logistics,4.0,4.7k,--,284,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
eClerx,3.4,4.6k,57,471,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Omega Healthcare,3.8,4.6k,52,397,,"Promotions / Appraisal, Salary & Benefits"
Aurobindo Pharma,4.0,4.5k,14,222,"Job Security, Salary & Benefits, Work Life Balance",
JLL,4.2,4.5k,35,320,"Job Security, Skill Development / Learning, Company Culture",
Shapoorji Pallonji Group,4.2,4.5k,14,310,"Job Security, Work Life Balance, Skill Development / Learning",
Bajaj Allianz Life Insurance,4.0,4.5k,5,305,"Salary & Benefits, Work Life Balance, Job Security",
Siemens,4.1,4.4k,678,404,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Coforge,3.4,4.4k,147,482,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Virtusa Consulting Services,3.8,4.3k,706,530,,Promotions / Appraisal
Indiamart Intermesh,3.5,4.3k,286,534,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Ashok Leyland,4.1,4.3k,1,221,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Apollo Hospitals,4.1,4.3k,94,311,"Job Security, Skill Development / Learning, Company Culture",
First Source,3.7,4.3k,88,274,,"Promotions / Appraisal, Salary & Benefits"
L&T Technology Services,3.4,4.3k,3,496,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Standard Chartered,3.8,4.2k,297,254,Job Security,Promotions / Appraisal
JustDial,3.5,4.2k,70,316,,"Promotions / Appraisal, Work Satisfaction, Job Security"
DMart,3.9,4.2k,105,374,"Job Security, Company Culture",Promotions / Appraisal
BigBasket,4.0,4.2k,5,337,"Job Security, Skill Development / Learning",Promotions / Appraisal
ICICI Lombard General Insurance Company,3.7,4.2k,137,253,,"Promotions / Appraisal, Work Satisfaction"
Vivo,4.1,4.2k,--,183,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Hero MotoCorp,4.2,4.2k,--,309,"Work Life Balance, Company Culture, Job Security",
Home Credit Finance,4.1,4.2k,84,109,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Cyient,3.7,4.2k,92,274,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CGI Group,4.1,4.2k,174,452,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Mahindra Finance,4.1,4.1k,36,141,"Company Culture, Job Security, Work Life Balance",
GlobalLogic,3.7,4.1k,89,529,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Cholamandalam Investment & Finance,4.0,4k,34,160,"Salary & Benefits, Job Security, Skill Development / Learning",
Equitas Small Finance Bank,4.3,4k,850,172,"Job Security, Company Culture, Work Life Balance",
UST,3.8,4k,62,467,"Work Life Balance, Company Culture",Promotions / Appraisal
Bosch Global Software Technologies,4.0,4k,12,309,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
OPPO,4.0,4k,16,199,Skill Development / Learning,Promotions / Appraisal
Nagarro,4.0,3.9k,33,731,"Work Life Balance, Company Culture, Salary & Benefits",
Manappuram Finance,4.0,3.9k,18,137,"Skill Development / Learning, Promotions / Appraisal",
SMFG India Credit,4.1,3.9k,21,146,"Salary & Benefits, Job Security, Company Culture",
TVS Motor,4.0,3.9k,8,296,"Skill Development / Learning, Salary & Benefits, Job Security",
SBI Cards & Payment Services,3.7,3.8k,95,224,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
IQVIA,4.0,3.8k,29,441,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Kalpataru Projects International,4.2,3.8k,3,219,"Job Security, Skill Development / Learning, Salary & Benefits",
Atos Syntel,3.6,3.8k,18,272,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Optum,4.0,3.8k,26,390,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Swiggy,3.8,3.8k,111,398,,"Job Security, Promotions / Appraisal"
BNY,4.0,3.8k,410,317,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Amdocs,3.9,3.7k,50,503,Company Culture,Promotions / Appraisal
Hewlett Packard Enterprise,4.2,3.7k,--,222,"Company Culture, Work Life Balance, Job Security",
State Bank of India,3.8,3.7k,2,228,"Job Security, Salary & Benefits",Work Life Balance
Bosch,4.2,3.6k,--,320,"Company Culture, Work Life Balance, Job Security",
CBRE,4.2,3.6k,62,242,"Skill Development / Learning, Job Security, Company Culture",
Hyundai Motor India Limited,4.4,3.6k,7,238,"Job Security, Salary & Benefits, Skill Development / Learning",
Dell,4.1,3.6k,26,376,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
SBI Life Insurance Company,3.8,3.6k,--,211,Job Security,Promotions / Appraisal
JBM Group,4.0,3.6k,17,240,"Job Security, Skill Development / Learning",
